position,data/towovabiqe,data/towovabiqe-inverted,data/current
264,7180,19704,7155.699789101102
265,7162,19722,7116.35039512444
266,7092,19792,7077.095704955267
267,7091,19793,7037.93526383274
268,6972,19912,6998.868620263777
269,6965,19919,6959.8953259918
270,0,0,6921.014935965895
271,6937,19947,6882.227008310303
272,6817,20067,6843.531104294302
273,0,0,6804.926788302412
274,6741,20143,6766.4136278049955
275,6693,20191,6727.991193329155
276,6641,20243,6689.659058430021
277,6557,20327,6651.416799662331
278,6525,20359,6613.263996552384
279,6524,20360,6575.20023157028
280,6487,20397,6537.225090102528
281,6296,20588,6499.33816042492
282,6295,20589,6461.539033675776
283,6253,20631,6423.827303829443
284,6196,20688,6386.202567670152
285,6046,20838,6348.664424766123
286,5998,20886,6311.212477444026
287,5887,20997,6273.8463307636675
288,0,0,6236.565592493036
289,5822,21062,6199.369873083569
290,5804,21080,6162.258785645753
291,0,0,6125.231945924962
292,5734,21150,6088.288972277596
293,5709,21175,6051.429485647466
294,5647,21237,6014.653109542476
295,0,0,5977.959470011527
296,5603,21281,5941.348195621724
297,5523,21361,5904.818917435795
298,5515,21369,5868.371268989807
299,5467,21417,5832.004886271082
300,5434,21450,5795.719407696408
301,5404,21480,5759.514474090447
302,5303,21581,5723.389728664421
303,0,0,5687.344816994997
304,5302,21582,5651.3793870034415
305,5184,21700,5615.493088934966
306,5128,21756,5579.685575338343
307,5105,21779,5543.956501045695
308,5067,21817,5508.305523152557
309,5013,21871,5472.732300998104
310,4979,21905,5437.236496145645
311,4978,21906,5401.817772363283
312,4911,21973,5366.4757956048215
313,4877,22007,5331.210233990845
314,4863,22021,5296.020757790036
315,0,0,5260.907039400663
316,4822,22062,5225.868753332294
317,4803,22081,5190.905576187676
318,0,0,5156.017186644848
319,4784,22100,5121.203265439399
320,4693,22191,5086.463495346958
321,4689,22195,5051.797561165831
322,4525,22359,5017.205149699868
323,4495,22389,4982.685949741453
324,0,0,4948.239652054733
325,4460,22424,4913.865949358974
326,4451,22433,4879.564536312136
327,4355,22529,4845.335109494576
328,4317,22567,4811.177367392964
329,4141,22743,4777.091010384333
330,4099,22785,4743.075740720319
331,4040,22844,4709.131262511548
332,3831,23053,4675.257281712198
333,3728,23156,4641.453506104712
334,3718,23166,4607.719645284679
335,3621,23263,4574.055410645855
336,3604,23280,4540.4605153653565
337,0,0,4506.934674388992
338,0,0,4473.477604416756
339,0,0,4440.089023888456
340,0,0,4406.768652969507
341,0,0,4373.516213536845
342,0,0,4340.331429165015
343,0,0,4307.214025112365
344,0,0,4274.163728307415
345,0,0,4241.180267335333
346,0,0,4208.263372424575
347,3511,23373,4175.4127754336305
348,0,0,4142.628209837933
349,3510,23374,4109.909410716869
350,3466,23418,4077.2561147409515
351,0,0,4044.6680601590833
352,3440,23444,4012.144986785989
353,3321,23563,3979.6866359897313
354,3307,23577,3947.292750679387
355,0,0,3914.9630752928147
356,3235,23649,3882.6973557845713
357,3195,23689,3850.495339613919
358,3173,23711,3818.3567757329815
359,3168,23716,3786.281414574986
360,3167,23717,3754.2690080426482
361,3166,23718,3722.3193094966455
362,3122,23762,3690.4320737442304
363,3106,23778,3658.6070570279226
364,3102,23782,3626.8440170143463
365,0,0,3595.1427127831425
366,3097,23787,3563.5029048160204
367,2944,23940,3531.924354985882
368,2828,24056,3500.406826546088
369,2792,24092,3468.950084119787
370,2760,24124,3437.5538936893913
371,2633,24251,3406.218022586109
372,2567,24317,3374.9422394796175
373,2540,24344,3343.7263143677997
374,0,0,3312.570018566613
375,2538,24346,3281.473124700018
376,2532,24352,3250.435406690044
377,2505,24379,3219.4566397469034
378,2381,24503,3188.5366003592453
379,2333,24551,3157.675066284462
380,2329,24555,3126.8718165391197
381,2328,24556,3096.1266313894484
382,2238,24646,3065.439292341954
383,2237,24647,3034.8095821340853
384,2181,24703,3004.2372847250203
385,0,0,2973.7221852865073
386,2150,24734,2943.2640701938235
387,2149,24735,2912.8627270167867
388,2148,24736,2882.5179445108806
389,0,0,2852.2295126084314
390,2102,24782,2821.9972224099
391,2071,24813,2791.8208661752183
392,1927,24957,2761.7002373152436
393,0,0,2731.635130383255
394,1903,24981,2701.625341066559
395,1788,25096,2671.6706661781486
396,0,0,2641.770903648459
397,1696,25188,2611.9258525171767
398,1667,25217,2582.135312925148
399,1656,25228,2552.3990861063357
400,1624,25260,2522.7169743798777
401,1612,25272,2493.0887811421826
402,1580,25304,2463.5143108591374
403,1572,25312,2433.993369058343
404,1544,25340,2404.525762321463
405,0,0,2375.1112982765994
406,1470,25414,2345.749785590777
407,1469,25415,2316.4410339624574
408,1467,25417,2287.184854114156
409,1459,25425,2257.9810577850913
410,1411,25473,2228.829457723931
411,1343,25541,2199.7298676815735
412,1341,25543,2170.6821024040246
413,1336,25548,2141.685977625304
414,0,0,2112.7413100604485
415,1319,25565,2083.8479173985447
